slug	title	type	missing	max	count	verdict	recover_isbn
kifujin-rooza-wa-kage-kara-ai-o-mimamoritai	貴腐人ローザは陰から愛を見守りたい	standard	[3]	4	3	SOURCE_GAP	{}
kigekishinshisoutaikei	喜劇新思想大系	bunkobon	[2]	3	2	SOURCE_GAP	{}
kimi-ni-sasageru-otokomae	君に捧げる男前	standard	[2]	3	2	SOURCE_GAP	{}
king-abyss	キングアビス	standard	[2]	3	2	SOURCE_GAP	{}
kiss-de-goukaku	Kissで合格	standard	[2]	3	2	SOURCE_GAP	{}
kitarouyawa	鬼太郎夜話	bunkobon	[2]	3	2	SOURCE_GAP	{}
kizuato	痕	standard	[3]	5	3	SOURCE_GAP	{}
konjaku-monogatari	今昔物語	standard	[2]	3	2	SOURCE_GAP	{}
konnamonikagassukaa	こんなもんいかがっすかぁ	standard	[2]	3	2	SOURCE_GAP	{}
kono-sekai-ga-izure-horobu-koto-o-ore-dake-ga-shitte-iru	この世界がいずれ滅ぶことを、俺だけが知っている	standard	[10]	13	12	SOURCE_GAP	{}
kouya-ni-kemono-doukokusu	荒野に獣慟哭す	standard	[5]	9	8	SOURCE_GAP	{}
kuro-ka-shiro-ka	黒か白か	standard	[13]	14	13	SOURCE_GAP	{}
kusattemo-neko-nanode	くさっても猫なので	standard	[2]	3	2	SOURCE_GAP	{}
kyouka-ayakashi-hichou	鏡花あやかし秘帖	standard	[2]	3	2	SOURCE_GAP	{}
lightning-brigade	ライトニング・ブリゲイド	standard	[2]	3	2	SOURCE_GAP	{}
madara-rumble	マダラランブル	standard	[2]	4	3	SOURCE_GAP	{}
mahou-shoujo-chikichiki	魔法少女チキチキ	standard	[2]	3	2	SOURCE_GAP	{}
mahouka-koukou-no-rettousei-2018	魔法科高校の劣等生	standard	[3]	8	7	SOURCE_GAP	{}
majikyuu-4-koma-steins-gate	マジキュー4コマ STEINS;GATE	standard	[4]	6	3	SOURCE_GAP	{}
major-2nd	MAJOR 2nd	standard	[29]	32	31	SOURCE_GAP	{}
mama-wa-yashinomiwari	ママはやしの実わり	standard	[2]	3	2	SOURCE_GAP	{}
mameda-sensei	まめだ先生	standard	[2]	3	2	SOURCE_GAP	{}
manga-kotowaza-jiten	まんがことわざ事典	standard	[3]	5	4	SOURCE_GAP	{}
manga-ningen-no-jouken	マンガ人間の條件	standard	[2]	3	2	SOURCE_GAP	{}
maruboukabushikigaisha	〔○暴〕株式会社	standard	[23]	26	25	SOURCE_GAP	{}
marugoshi-deka-super-collection	まるごし刑事スーパーコレクション	standard	[15]	19	18	SOURCE_GAP	{}
mashou-no-ahosuta-san	マショウのあほすたさん	standard	[2]	3	2	SOURCE_GAP	{}
matenrou	摩天楼	standard	[9]	14	13	SOURCE_GAP	{}
mato	魔都	standard	[2]	3	2	SOURCE_GAP	{}
menkuiegurekeibu	面くいエグレ警部	bunkobon	[2]	3	2	SOURCE_GAP	{}
mercy	マーシー	standard	[2]	3	2	SOURCE_GAP	{}
meshibanakeijitachibana	めしばな刑事タチバナ	standard	[55]	59	58	SOURCE_GAP	{}
microman	ミクロマン	standard	[4]	5	4	SOURCE_GAP	{}
miyamoto-musashi-1985	宮本武蔵	bunkobon	[2]	3	2	SOURCE_GAP	{}
miyamoto-musashi	宮本武蔵	bunkobon	[2]	3	2	SOURCE_GAP	{}
mizu-no-yuuwaku	水の誘惑	standard	[2]	3	2	SOURCE_GAP	{}
mizudako-chan-kara-wa-nigerarenai	ミズダコちゃんからは逃げられない!	standard	[2]	4	3	SOURCE_GAP	{}
mobile-suit-gundam-moon-crisis	機動戦士ガンダムムーンライトクライシス	standard	[2]	3	2	SOURCE_GAP	{}
mobile-suit-gundam-san	機動戦士ガンダムさん	standard	[22]	23	22	SOURCE_GAP	{}
mobile-suit-gundam-the-movies	Mobile suit Gundam the movies	standard	[5]	6	5	SOURCE_GAP	{}
moeyo-sensha-gakkou	萌えよ!戦車学校	standard	[4]	6	4	SOURCE_GAP	{}
musashi	ムサシ	standard	[11]	13	12	SOURCE_GAP	{}
muse-no-gakuen-de-aou	ミューズの学園で逢おう	standard	[3]	4	3	SOURCE_GAP	{}
musume-ja-nakute-mama-ga-suki-nano	娘じゃなくて私(ママ)が好きなの!?	standard	[7]	9	8	SOURCE_GAP	{}
neboke-jinsei	ねぼけ人生	standard	[2]	3	2	SOURCE_GAP	{}
nee-piyo-chan	ねぇ、ぴよちゃん	standard	[11]	13	12	SOURCE_GAP	{}
nee-try-shite	ねえトライ（try）して!	standard	[2]	3	2	SOURCE_GAP	{}
negative-twin-tower	ネガティブ・ツインタワー!	standard	[3]	4	3	SOURCE_GAP	{}
nekokkaburi-generation	猫っかぶりゼネレーション	standard	[2]	3	2	SOURCE_GAP	{}
new-normal	ニューノーマル	standard	[6]	7	6	SOURCE_GAP	{}
nezumi-royale	ねずみロワイアル	standard	[2]	3	2	SOURCE_GAP	{}
nhk-sono-toki-rekishi-ga-ugoita	NHKその時歴史が動いた	standard	[2]	3	2	SOURCE_GAP	{}
nichi-nichi-sora-no-tayori	日・日・天(そら)のたより	standard	[8]	11	10	SOURCE_GAP	{}
ningen-korogashi	人間ころがし	standard	[2]	3	2	SOURCE_GAP	{}
ningen-no-jouken	人間の條件	standard	[3]	4	2	SOURCE_GAP	{}
ningen-shikkaku-ito-2010	人間失格	standard	[2]	3	2	SOURCE_GAP	{}
nippon-banashi	ニッポン昔話	standard	[2]	3	2	SOURCE_GAP	{}
nomizukushi-sakezukushi	呑みづくし酒づくし	standard	[2]	4	3	SOURCE_GAP	{}
noroi-no-ko-to-shiitagerareta-reijou-wa-koori-no-hakushaku-ni-dekiai-dekiaisareru	「呪いの子」と虐げられた令嬢は氷の伯爵に溺愛される	standard	[2]	3	2	SOURCE_GAP	{}
oboreru-hibi-wa-kimi-no-sei	溺れる日々はきみのせい	standard	[3]	4	3	SOURCE_GAP	{}
oda-nobunaga-akizuki-1991	織田信長	standard	[2]	3	2	SOURCE_GAP	{}
oedo-hankachou-tansakuya-gai	大江戸犯科帖 探索屋ガイ	standard	[2]	3	2	SOURCE_GAP	{}
oibore-yuusha-no-ise-kaigo	老いぼれ勇者の異世介護	standard	[2]	3	2	SOURCE_GAP	{}
old-yokohama-radio-hour	オールドヨコハマラジオアワー	standard	[2]	3	2	SOURCE_GAP	{}
omega-7	Omega 7	standard	[6]	7	6	SOURCE_GAP	{}
oni-no-bukichi	鬼の武吉	standard	[2]	3	2	SOURCE_GAP	{}
onnakui	女喰い	standard	[9]	10	9	SOURCE_GAP	{}
onnanoko-no-mayu	おんなのこのまゆ	standard	[3]	4	3	SOURCE_GAP	{}
oogata-shinjin-no-kyouikugakari	大型新人の教育係	standard	[2]	3	2	SOURCE_GAP	{}
ookami-no-seiza	狼の星座	standard	[5]	7	6	SOURCE_GAP	{}
operation-g-g	オペレーションG.G	standard	[4]	5	3	SOURCE_GAP	{}
ore-dake-level-appu-na-ken	俺だけレベルアップな件	standard	[18]	24	23	SOURCE_GAP	{}
ore-no-koshien	俺の甲子園	standard	[10]	11	10	SOURCE_GAP	{}
osaka-geijutsu-daigaku-daigaku-manga	大阪芸術大学 大学漫画	standard	[4]	6	3	SOURCE_GAP	{}
oshigoto	おしごと	standard	[2]	3	2	SOURCE_GAP	{}
ossu-miri-chan	オッス!美里ちゃん	standard	[4]	5	4	SOURCE_GAP	{}
otokoun-ga-ii-rank-nanode-isekai-no-yamiochi-kami-sama-ni-metoraremashita	男運がEランクなので異世界の闇落ち神様に娶られました	standard	[3]	5	3	SOURCE_GAP	{}
otona-ni-narenai-bokura-wa	大人になれない僕らは	standard	[2]	3	2	SOURCE_GAP	{}
pachikko-bojou	パチっ子慕情	standard	[2]	4	3	SOURCE_GAP	{}
pachinko	ぱちん娘(こ)。	standard	[6]	8	7	SOURCE_GAP	{}
papillon	パピヨン	standard	[6]	8	7	SOURCE_GAP	{}
parabellum	パラベラム	standard	[2]	3	2	SOURCE_GAP	{}
peak-out	ピークアウト	standard	[2]	4	3	SOURCE_GAP	{}
perfect-angel-lip	Perfectエンジェルリップ	standard	[3]	4	2	SOURCE_GAP	{}
persona-4-4-koma-kings	ペルソナ4 4コマKINGS	standard	[3]	5	4	SOURCE_GAP	{}
pilot-a	パイロットA	standard	[4]	5	4	SOURCE_GAP	{}
pin-pin-pin	ピン!ピン!ピン!	standard	[2]	3	2	SOURCE_GAP	{}
pink-chan-v	ピンクちゃんV	standard	[2]	3	2	SOURCE_GAP	{}
platonic	プラトニック	standard	[2]	4	3	SOURCE_GAP	{}
potion-danomi-de-ikinobimasu-zoku	ポーション頼みで生き延びます!続	standard	[3]	4	3	SOURCE_GAP	{}
powerful-mazegohan	パワフル☆まぜごはん	standard	[2]	3	2	SOURCE_GAP	{}
pumpkin	パンプキン	standard	[8]	23	21	SOURCE_GAP	{}
purodeyuusaa-ni-naritai	プロデューサーになりたい	standard	[2]	4	3	SOURCE_GAP	{}
quartet	かるてっと	standard	[2]	3	2	SOURCE_GAP	{}
raikonen-no-nettaigyo	ライコネンの熱帯魚	standard	[2]	3	2	SOURCE_GAP	{}
rakkiidoggu-1-blast	ラッキードッグ1 BLAST	standard	[2]	9	8	SOURCE_GAP	{}
red-mask	レッドマスク	standard	[4]	5	4	SOURCE_GAP	{}
reikan-koumuten-ripea	霊感工務店リペア	standard	[7]	12	11	SOURCE_GAP	{}
resu	レス	standard	[3]	6	5	SOURCE_GAP	{}
ribbon-no-kishi-nakayoshi-orijinaruban-fukkoku-daizenshuu	リボンの騎士 ≪なかよしオリジナル版≫ 復刻大全集	standard	[2]	4	3	SOURCE_GAP	{}
riezon	リエゾン	standard	[19]	21	20	SOURCE_GAP	{}
rikei-kun	理系クン	standard	[3]	4	3	SOURCE_GAP	{}
ring-1996	リング	standard	[2]	3	2	SOURCE_GAP	{}
rockman-maniax	ロックマンマニアックス	standard	[2]	3	2	SOURCE_GAP	{}
ryojou-mystery-file	旅情ミステリー事件簿	standard	[8]	10	9	SOURCE_GAP	{}
ryoushite-sourou	料して候	standard	[2]	3	2	SOURCE_GAP	{}
ryoushuu	領袖	standard	[7]	13	12	SOURCE_GAP	{}
ryuutei-no-mon	竜蹄の門	standard	[5]	6	5	SOURCE_GAP	{}
saboton-road	サボテンロード	standard	[2]	3	2	SOURCE_GAP	{}
saikikkuakademiikourabanshou	サイキックアカデミー煌羅万象	standard	[9]	11	10	SOURCE_GAP	{}
saikou-nando-meikyuu-de-party-ni-okizari-ni-sareta-esu-rank-kenshi-hontou-ni-mayoimakutte-daremo	最高難度迷宮でパーティに置き去りにされたSランク剣士、本当に迷いまくって誰も知らない最深部へ	standard	[6]	7	6	SOURCE_GAP	{}
saiyaku-wa-boku-o-sukisugiru	災厄は僕を好きすぎる	standard	[5]	11	10	SOURCE_GAP	{}
saki	咲	standard	[26]	27	26	SOURCE_GAP	{}
sakuranbomonogatari	桜桃物語	standard	[16]	17	16	SOURCE_GAP	{}
samurai-deeper-kyo	SAMURAI DEEPER KYO	standard	[35]	38	37	SOURCE_GAP	{}
sandman-1998	SANDMAN	standard	[3]	5	4	SOURCE_GAP	{}
sandman	サンドマン	standard	[5]	7	6	SOURCE_GAP	{}
sasurainogyanburaa	さすらいのギャンブラー	standard	[3]	4	3	SOURCE_GAP	{}
sayonara-jitensha	サヨナラ自転車	standard	[2]	3	2	SOURCE_GAP	{}
secret-siblings	シークレット×シブリングス	standard	[2]	3	2	SOURCE_GAP	{}
seibonjinden	聖凡人伝	bunkobon	[7]	9	8	SOURCE_GAP	{}
senjou	戦場	standard	[2]	3	2	SOURCE_GAP	{}
senri-no-michi-mo-dai-sanshou	千里の道も 第三章	standard	[12]	39	38	SOURCE_GAP	{}
senri-no-michi-mo	千里の道も	standard	[13]	45	44	SOURCE_GAP	{}
series-atarimae-no-zeitaku	シリーズあたりまえのぜひたく。	standard	[2]	10	9	SOURCE_GAP	{}
shachou-to-anan	社長とあんあん❤	standard	[10]	13	12	SOURCE_GAP	{}
shakaikamanganihonnonbiriryokou	社会科まんが日本のんびり旅行	standard	[5]	6	2	SOURCE_GAP	{}
sherlock-ooinaru-game	SHERLOCK大いなるゲーム	standard	[2]	3	2	SOURCE_GAP	{}
shin-bikkuriman-omoshiro-land	新・ビックリマンおもしろランド	standard	[4]	6	4	SOURCE_GAP	{}
shin-kaiketsu-jouki-tanteidan	真・快傑蒸気探偵団	standard	[8]	13	12	SOURCE_GAP	{}
shin-karate-jigokuhen	新カラテ地獄変	standard	[14]	15	14	SOURCE_GAP	{}
shinjite-ita-nakamatachi-ni-dungeon-okuchi-de-korosarekaketaga-gift-mugen-gacha-de-level-9999-no	信じていた仲間達にダンジョン奥地で殺されかけたがギフト『無限ガチャ』でレベル9999の仲間達を手に入れて元パーティーメンバーと世界に復讐&『ざまぁ!』します!	standard	[14]	21	20	SOURCE_GAP	{}
shinkuu-yuusetsu	真空融接	standard	[2]	3	2	SOURCE_GAP	{}
shion	Shion	standard	[2]	3	2	SOURCE_GAP	{}
shiritsu-shouei-gakuen-otoko-koutoubu-kurashina-sensei-no-junan	私立翔瑛学園男子高等部倉科先生の受難	standard	[4]	5	4	SOURCE_GAP	{}
shizuku-chan	しずくちゃん	standard	[43]	44	43	SOURCE_GAP	{}
shoichi	Shoichi	standard	[8]	9	8	SOURCE_GAP	{}
shokuba-to-jitaku-de-gap-no-aru-papa	職場と自宅でギャップのあるパパ	standard	[5]	6	5	SOURCE_GAP	{}
shouta-no-sushi	将太の寿司	standard	[28]	29	28	SOURCE_GAP	{}
shouwa-genroku-rakugo-shinjuu	昭和元禄落語心中	standard	[15]	20	19	SOURCE_GAP	{}
sidooh-shidou	Sidooh士道	standard	[24]	25	24	SOURCE_GAP	{}
skill-rendaa-no-torikaeshi	技巧貸与(スキル・レンダー)のとりかえし	standard	[8]	12	11	SOURCE_GAP	{}
sky-high	スカイハイ	standard	[3]	4	3	SOURCE_GAP	{}
sleeping-beauty-clinic	Sleeping beauty clinic	standard	[2]	3	2	SOURCE_GAP	{}
sora-no-ue-no-aren	空の上のアレン	standard	[3]	4	2	SOURCE_GAP	{}
star-ocean-sekando-story	スターオーシャン セカンドストーリー	standard	[4]	7	4	SOURCE_GAP	{}
sugar-spice	Sugar ＆ Spice	standard	[17]	18	17	SOURCE_GAP	{}
sugomori-hontou-ni-atta-koko-dake-no-hanashi-kiwami	スゴ盛!本当にあった〔○生〕ここだけの話極	standard	[4]	24	23	SOURCE_GAP	{}
sugomori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	スゴ盛!本当にあった(生)ここだけの話極 (ウルトラ)	standard	[4]	27	26	SOURCE_GAP	{}
suki-ni-sasete-miseru-kara	好きにさせてみせるから!	standard	[2]	3	2	SOURCE_GAP	{}
supaidaaman-kizuna	スパイダーマン:絆	standard	[2]	4	3	SOURCE_GAP	{}
super-tamutamu	すーぱータムタム	standard	[2]	3	2	SOURCE_GAP	{}
sutekina-shufutachi	すてきな主婦たち	bunkobon	[2]	3	2	SOURCE_GAP	{}
sweet-wheels	SWEET WHEELS	standard	[2]	3	2	SOURCE_GAP	{}
tachibanakan-try-anguru	立花館to lie (とらい) あんぐる	standard	[3]	9	8	SOURCE_GAP	{}
taigaamasukunisei	タイガーマスク二世	standard	[2]	4	3	SOURCE_GAP	{}
taishou-shinkon-roman	大正新婚浪漫	standard	[3]	4	3	SOURCE_GAP	{}
takeki-ryuusei	猛き竜星	standard	[2]	3	2	SOURCE_GAP	{}
tales-of-destiny-director-cut-cut-toki-no-rion	テイルズオブデスティニーディレクターズカット 儚き刻のリオン	standard	[3]	5	4	SOURCE_GAP	{}
tales-of-the-abyss-2006	テイルズオブジアビス	standard	[2]	3	2	SOURCE_GAP	{}
tales-of-vesperia-4-koma-kings	テイルズオブヴェスペリア4コマKINGS	standard	[3]	4	3	SOURCE_GAP	{}
tenkaichi-azuma-2025	テンカイチ	standard	[10]	13	12	SOURCE_GAP	{}
tensei-kenja-no-isekai-life	転生賢者の異世界ライフ	standard	[26]	31	30	SOURCE_GAP	{}
the-mad-pachi-slot-brother-s	THE MAD PACHI-SLOT BROTHER'S	standard	[2]	4	3	SOURCE_GAP	{}
tokyo-saitei-saiaku-saikou	東京最低最悪最高!	standard	[2]	3	2	SOURCE_GAP	{}
toriyama-akira-marusaku-gekijou-aratame	鳥山明○作劇場「改」	standard	[2]	3	2	SOURCE_GAP	{}
tough	TOUGH	standard	[17]	39	38	SOURCE_GAP	{}
touhou-chirei-kiden	東方智霊奇伝	standard	[5]	6	5	SOURCE_GAP	{}
tozaki-san-wa-boku-ni-dake-tsumetai	戸崎さんは僕にだけ冷たい	standard	[3]	4	3	SOURCE_GAP	{}
tsugi-ha-anata-ga-yarareru-ban-death	次はアナタがヤられる番です。	standard	[3]	4	3	SOURCE_GAP	{}
tsuihousareta-sareta-cheat-fuyo-majutsushi-wa-kimama-na-sekando-life-o-ouka-suru	追放されたチート付与魔術師は気ままなセカンドライフを謳歌する。	standard	[11]	12	11	SOURCE_GAP	{}
tsuki-ga-michibiku-isekai-douchuu	月が導く異世界道中	standard	[15]	16	15	SOURCE_GAP	{}
tsuyoshi	TSUYOSHI	standard	[24]	30	29	SOURCE_GAP	{}
uchuu-battleship-yamato	宇宙戦艦ヤマト	bunkobon	[2]	3	2	SOURCE_GAP	{}
uchuu-tetsujin-kyoodain	宇宙鉄人キョーダイン	standard	[2]	3	2	SOURCE_GAP	{}
uiui-days	ういうい❤days	standard	[5]	8	7	SOURCE_GAP	{}
ultra-seven-productions-1998	ウルトラセブン	standard	[2]	3	2	SOURCE_GAP	{}
umimachi-diary	海街diary	standard	[5]	9	8	SOURCE_GAP	{}
usaru-san	うさるさん。	standard	[2]	3	2	SOURCE_GAP	{}
vampire-knight-memories	ヴァンパイア騎士(ナイト)memories	standard	[10]	11	10	SOURCE_GAP	{}
wakaoku-sama-wa-udemakuri	若奥さまは腕まくり!	standard	[2]	3	2	SOURCE_GAP	{}
watashi-dake-ga-shitte-iru	わたしだけが知っている	standard	[2]	3	2	SOURCE_GAP	{}
watashi-ni-ai-o-sakebasete	私に愛を叫ばせて	standard	[2]	3	2	SOURCE_GAP	{}
wonder-three	WONDER THREE	bunkobon	[2]	3	2	SOURCE_GAP	{}
wotaku-douryou-to-gisou-kekkon-shita-kekka-mainichi-ga-metcha-tanoshiin-dakedo	オタク同僚と偽装結婚した結果、毎日がメッチャ楽しいんだけど!	standard	[3]	4	3	SOURCE_GAP	{}
yadamon	ヤダモン	standard	[2]	3	2	SOURCE_GAP	{}
yattara	ヤッターラ	standard	[2]	4	3	SOURCE_GAP	{}
yozakura-quartet	夜桜四重奏	standard	[33]	34	33	SOURCE_GAP	{}
yume-maboroshi-no-gotoku	夢幻の如く	standard	[5]	6	5	SOURCE_GAP	{}
yurihime-wild-rose	百合姫Wildrose	standard	[2]	3	2	SOURCE_GAP	{}
yuugiou-ooshiijii-stories	遊☆戯☆王OCG(オフィシャルカードゲーム)STORIES	standard	[4]	6	5	SOURCE_GAP	{}
yuusha-densetsu-no-uragawa-de-ore-wa-eiyuu-densetsu-o-tsukurimasu	勇者伝説の裏側で俺は英雄伝説を作ります	standard	[8]	11	10	SOURCE_GAP	{}
zakoken-maruchou	ざこ検〔○潮〕	standard	[4]	6	5	SOURCE_GAP	{}
zenkan-shutsugeki	全艦出撃!!	standard	[2]	3	2	SOURCE_GAP	{}
zero-site-muhou-chitai	Xero site（無法恥帯）	standard	[2]	6	5	SOURCE_GAP	{}
zeruda-no-densetsu-4-koma-manga-gekijou	ゼルダの伝説 4コママンガ劇場	standard	[3]	8	6	SOURCE_GAP	{}
zettai-shitai-etchi-na-koi	絶対したいHな恋!	standard	[2]	3	2	SOURCE_GAP	{}
zootopia	ズートピア	standard	[2]	3	2	SOURCE_GAP	{}
